date,AUD,BRL,CAD,GBP,JPY,MXN,ZAR,INR,HKD,SGD,KRW,SEK,NZD,CHF,NOK
1/3/22,0.7195,0.17668781,0.783883358,1.3469,0.008675284,0.048614487,0.063161219,74.3200,7.7966,1.3533,1191.39,9.1206,0.6787,0.9138,8.8747
1/4/22,0.7241,0.176149375,0.787587619,1.3544,0.008611781,0.048778108,0.0625,74.5200,7.7941,1.3554,1193.77,9.0867,0.6808,0.9141,8.8417
1/5/22,0.726,0.175821084,0.787401575,1.3573,0.008627383,0.048926073,0.063431652,74.3100,7.7958,1.3543,1196.38,9.0637,0.6826,0.9180,8.8014
1/6/22,0.7168,0.175355533,0.785854617,1.3539,0.00863707,0.04893565,0.063663855,74.4000,7.8001,1.3604,1205.02,9.1321,0.6748,0.9257,8.8842
1/7/22,0.7186,0.177768297,0.790951515,1.3583,0.008649771,0.049026818,0.064226076,74.2700,7.7984,1.3557,1200.78,9.0604,0.6779,0.9305,8.8403
1/10/22,0.717,0.176093541,0.788705734,1.3567,0.008685079,0.048887802,0.063694268,74.0600,7.7952,1.3560,1199.13,9.1040,0.6754,0.9355,8.8697
1/11/22,0.7198,0.178635227,0.79377679,1.3622,0.008667013,0.049132806,0.064464142,73.8100,7.7960,1.3510,1194.62,9.0515,0.6774,0.9292,8.7913
1/12/22,0.7277,0.180047172,0.799936005,1.3698,0.008715356,0.049099033,0.065220936,73.7700,7.7922,1.3467,1187.34,8.9525,0.6846,0.9317,8.6828
1/13/22,0.7299,0.181415769,0.801153661,1.3724,0.008767315,0.049115914,0.065030076,73.9600,7.7881,1.3449,1187.95,8.9203,0.6880,0.9244,8.6782
1/14/22,0.7222,0.180528226,0.796876245,1.367,0.008780402,0.049222288,0.065019506,74.0800,7.7851,1.3478,1186.96,9.0108,0.6810,0.9281,8.7529
1/17/22,,,,,,,,,,,,,,0.9283,
1/18/22,0.7188,0.180737046,0.797766254,1.3588,0.008726003,0.049072529,0.064651689,74.5600,7.7912,1.3504,1192.74,9.1213,0.6770,0.9261,8.7982
1/19/22,0.7226,0.182922368,0.800064005,1.3625,0.008750438,0.048851979,0.065402224,74.3900,7.7910,1.3472,1188.51,9.1043,0.6794,0.9276,8.7655
1/20/22,0.7266,0.18500703,0.802439416,1.3642,0.008765778,0.048964403,0.066203244,74.3200,7.7864,1.3440,1191.96,9.1210,0.6793,0.9281,8.7570
1/21/22,0.7199,0.184416782,0.797321001,1.3562,0.008793528,0.048856752,0.066357001,74.2800,7.7864,1.3438,1193.87,9.1893,0.6727,0.9301,8.8856
1/24/22,0.7101,0.181435518,0.78814628,1.3447,0.008785802,0.048405053,0.06514658,74.7200,7.7858,1.3477,1195.68,9.3324,0.6669,0.9233,9.0348
1/25/22,0.7138,0.182421832,0.791327055,1.3495,0.008781173,0.048362915,0.065455736,74.7300,7.7856,1.3446,1198.66,9.2868,0.6670,0.9327,8.9646
1/26/22,0.7167,0.183938491,0.793839803,1.3516,0.008746611,0.048430841,0.065821952,74.8700,7.7850,1.3449,1197.46,9.2624,0.6688,0.9355,8.8822
1/27/22,0.7044,0.184325002,0.786843969,1.3385,0.008660258,0.048169557,0.064683053,75.1800,7.7909,1.3530,1202.65,9.3789,0.6589,0.9393,8.9573
1/28/22,0.6998,0.185380865,0.784129224,1.3417,0.008679802,0.047998464,0.063989762,75.0000,7.7930,1.3554,1209.04,9.4335,0.6555,0.9398,8.9795
1/31/22,0.7064,0.189060934,0.787773751,1.3439,0.008679049,0.048456656,0.064945608,74.6000,7.7971,1.3514,1206.78,9.3341,0.6579,0.9381,8.9067
2/1/22,0.711,0.189350905,0.78814628,1.3505,0.008713078,0.048616851,0.065445026,74.7800,7.7939,1.3494,1209.44,9.2810,0.6620,0.9427,8.9075
2/2/22,0.7125,0.189440582,0.788084167,1.3565,0.008744316,0.048567737,0.064998375,74.7700,7.7943,1.3475,1201.70,9.2823,0.6627,0.9418,8.8579
2/3/22,0.7143,0.188512074,0.788705734,1.3602,0.008704735,0.04865233,0.065445026,74.7100,7.7929,1.3437,1206.35,9.1233,0.6663,0.9409,8.7388
2/4/22,0.7067,0.187737018,0.783760483,1.3543,0.008679049,0.048267207,0.064641241,74.6100,7.7894,1.3453,1199.43,9.1382,0.6602,0.9419,8.7766
2/7/22,0.7111,0.188957333,0.788332676,1.3533,0.008688852,0.048440225,0.064464142,74.6800,7.7922,1.3439,1198.64,9.1433,0.6620,0.9359,8.7971
2/8/22,0.7133,0.189710123,0.786843969,1.3552,0.008649023,0.048459004,0.06514658,74.7100,7.7944,1.3449,1198.05,9.1522,0.6641,0.9325,8.8224
2/9/22,0.7183,0.189965996,0.788954635,1.354,0.008662509,0.048780488,0.065649106,74.8000,7.7915,1.3415,1196.36,9.0914,0.6688,0.9274,8.8070
2/10/22,0.7245,0.192389088,0.790701352,1.3636,0.008632597,0.048940439,0.066544668,75.0700,7.7938,1.3409,1196.31,9.1924,0.6729,0.9249,8.7407
2/11/22,0.7177,0.192252235,0.788767944,1.3601,0.008627383,0.049005195,0.066302006,75.3400,7.7988,1.3436,1198.72,9.2583,0.6682,0.9249,8.8043
2/14/22,0.7127,0.191743524,0.785422557,1.3516,0.008641549,0.049014802,0.066192289,75.6300,7.8025,1.3475,1196.21,9.3785,0.6613,0.9228,8.8883
2/15/22,0.7152,0.193024109,0.784806153,1.3539,0.008647527,0.049108678,0.066334992,75.2000,7.8014,1.3445,1199.78,9.2674,0.6642,0.9213,8.8919
2/16/22,0.7183,0.193858561,0.788208402,1.3585,0.00866476,0.049231981,0.066401062,75.0300,7.8011,1.3434,1197.51,9.2740,0.6670,0.9228,8.8719
2/17/22,0.7195,0.193802205,0.787649653,1.3624,0.008693384,0.04929751,0.066800267,75.0200,7.7997,1.3430,1197.39,9.3300,0.6699,0.9227,8.9161
2/18/22,0.7174,0.195240048,0.784436774,1.3585,0.008689607,0.049263511,0.066148503,74.6300,7.8004,1.3458,1195.40,9.3911,0.6694,0.9196,8.9953
2/21/22,,,,,,,,,,,,,,0.9155,
2/22/22,0.7226,0.197585505,0.785175879,1.3597,0.008700191,0.049304802,0.066467265,74.6500,7.8016,1.3450,1192.07,9.3181,0.6750,0.9145,8.8820
2/23/22,0.7245,0.199278611,0.786348982,1.3555,0.008686588,0.049394912,0.066236132,74.6000,7.8054,1.3454,1193.42,9.3662,0.6782,0.9166,8.8769
2/24/22,0.7133,0.195129566,0.778816199,1.336,0.008661758,0.048442571,0.064808814,75.6100,7.8079,1.3580,1202.34,9.5721,0.6653,0.9182,9.0275
