date,Australia,Brazil,Canada,Hong Kong,India,Japan,Mexico,New Zealand,Norway,Singapore,South Africa,South Korea,Sweden,Switzerland,UK
2022-01-30,,0.1853,0.7835,,,,0.04764,,,,,,,,
2022-01-31,0.7011,0.1872,0.78635,,,0.0086655,0.04814,0.65585,0.112,,0.0642,0.000826,0.10728,1.0758,1.3417
2022-02-01,0.70685,0.1886,0.7883,,,0.0086985,0.04833,0.6567,0.11292,,0.06495,0.0008311,0.1078,1.0849,1.3507
2022-02-02,0.7133,0.1884,0.78935,,,0.0087165,0.04831,0.66295,0.11351,,0.0648,,0.10867,1.0896,1.3557
2022-02-03,0.71205,0.1878,0.78795,,,0.008734,0.04826,0.66275,0.11432,,0.06495,0.0008297,0.1099,1.09,1.3614
2022-02-04,0.71505,0.18685,0.7838,,,0.008704,0.04807,0.66725,0.1137,,0.06435,0.0008337,0.10938,1.0821,1.3544
2022-02-06,,0.1869,0.78445,,,,0.04811,,0.11372,,,,0.10925,1.0816,1.353
2022-02-07,0.70915,0.1894,0.78945,,,0.008672,0.04827,0.6607,0.11372,,0.0642,,0.10943,1.0847,1.353
2022-02-08,0.7122,0.1893,0.7871,,,0.0086625,0.04822,0.6642,0.1131,,0.064625,0.000834,0.10926,1.0824,1.3548
2022-02-09,0.71675,0.1905,0.7891,,,0.008662,0.04853,0.6654,0.1137,,0.064925,0.0008373,0.11005,1.0844,1.3548
2022-02-10,0.71745,0.1901,0.7859,,,0.0086515,0.04839,0.66765,0.11408,,0.06585,0.0008362,0.10866,1.084,1.3626
2022-02-11,0.71195,0.19015,0.78465,,,0.008616,0.04846,0.66485,0.11362,,0.065875,,0.10793,1.0811,1.3598
2022-02-13,,0.18925,0.7859,,,,0.0485,,,,0.06535,,0.10738,1.0821,1.3567
2022-02-14,0.71175,0.1911,0.78535,,,0.0086655,0.04868,0.66165,0.11236,,0.065875,0.000836,0.1066,1.0805,1.352
2022-02-15,0.71265,0.1925,0.7854,,,0.008673,0.04883,0.66215,0.11247,,0.06555,,0.10803,1.0803,1.3534
2022-02-16,0.71555,0.19445,0.78815,,,0.0086445,0.04908,0.6632,0.11279,,0.066025,,0.10786,1.0851,1.3578
2022-02-17,0.7173,0.1932,0.787,,,0.0086805,0.04906,0.6696,0.11207,,0.06655,,0.10721,1.0874,1.3621
2022-02-18,0.7206,0.19435,0.7837,,,0.0086815,0.0491,0.67045,0.11125,,0.066125,,0.10647,1.0866,1.3586
2022-02-22,,0.19725,0.78315,,,,0.04912,,0.11245,,0.066175,,0.10727,1.0856,1.3589
2022-02-23,0.7235,0.19975,0.7848,,,0.0086935,0.04925,0.67575,0.11244,,0.0664,0.0008382,0.10674,1.0904,1.3556
2022-02-24,0.71975,0.19585,0.78075,,,0.008731,0.04857,0.67165,0.11005,,0.06465,,0.10436,1.0796,1.3358
2022-02-25,0.71975,0.19225,0.7874,,,0.0086825,0.04903,0.6698,0.11274,,0.0656,0.0008316,0.10614,1.0791,1.3405
2022-02-27,,0.188,0.78365,,,,0.0485,,0.11172,,0.064975,,0.10447,1.0795,1.3371
2022-02-28,0.71825,0.1924,0.78905,,,0.0086585,0.04872,0.66815,0.1136,,0.06465,,0.10576,1.0895,1.3416
2022-03-01,0.72605,0.18945,0.78475,,,0.0086925,0.04832,0.675,0.11274,,0.064975,0.000831,0.10405,1.0874,1.3334
2022-03-02,0.7269,0.1942,0.7917,,,0.0086925,0.04843,0.67685,0.11223,,0.06465,0.0008267,0.10325,1.0843,1.3343
2022-03-03,0.73015,0.1974,0.7885,,,0.0086465,0.04833,0.6769,0.1122,,0.06575,0.0008273,0.10232,1.0869,1.3337
2022-03-04,0.73595,0.19545,0.78575,,,0.0086625,0.04765,0.6804,0.11126,,0.064875,,0.10102,1.0888,1.3211
2022-03-06,,0.1953,0.78655,,,,0.04761,,0.11087,,0.0651,,0.10073,1.0869,1.321
2022-03-07,0.7419,0.19545,0.78075,,,0.008702,0.04678,0.6887,0.11067,,0.065325,0.0008142,0.1001,1.0794,1.3109
2022-03-08,0.73105,0.19655,0.776,,,0.008659,0.04672,0.68265,0.11156,,0.0652,0.000807,0.10022,1.0754,1.309
2022-03-09,0.7284,0.1985,0.78045,,,0.008636,0.04778,0.68115,0.11215,,0.06635,0.0008124,0.10356,1.0806,1.3176
2022-03-10,0.73205,0.1982,0.783,,,0.0086135,0.04772,0.6833,0.1116,,0.065725,0.000814,0.10349,1.076,1.3116
2022-03-11,0.7346,0.19675,0.7849,,,0.0085885,0.04697,0.68385,0.11186,,0.065825,,0.10315,1.0755,1.3057
2022-03-13,,0.19755,0.7853,,,,0.04704,,0.11085,,0.0657,,0.10308,1.0738,1.3043
2022-03-14,0.72685,0.1943,0.7799,,,0.008508,0.04707,0.67755,0.11081,,0.06575,0.0008052,0.10498,1.0726,1.3055
2022-03-15,0.71935,0.19295,0.78335,,,0.0084685,0.04723,0.6736,0.11092,,0.065475,0.0008036,0.10394,1.0658,1.3043
2022-03-16,0.7218,0.1955,0.7879,,,0.008477,0.04773,0.67535,0.11184,,0.0658,0.0008126,0.10615,1.0662,1.3101
2022-03-17,0.7327,0.198,0.7923,,,0.0084325,0.04799,0.68335,0.11362,,0.066175,0.0008266,0.10669,1.0731,1.3151
2022-03-18,0.73885,0.19865,0.7941,,,0.0084335,,0.6869,0.11417,,0.066075,0.0008241,0.10652,1.0758,1.3172
2022-03-20,,0.19925,0.7933,,,,0.04831,,0.1143,,,,0.10628,1.0754,1.3155
2022-03-21,0.74115,0.20165,0.79435,,,0.0084005,0.04834,0.68955,0.11443,,0.0665,0.0008218,0.10585,1.0773,1.3183
2022-03-22,0.7403,0.2029,0.79565,,,0.008327,0.04857,0.6874,0.11412,,0.0667,0.0008219,0.10594,1.0764,1.3244
2022-03-23,0.74665,0.20595,0.79565,,,0.008275,0.04872,0.6949,0.11491,,0.06715,,0.10609,1.0775,1.3197
2022-03-24,0.74825,0.20655,0.798,,,0.008252,0.04909,0.6953,0.11551,,0.06805,0.0008175,0.10645,1.078,1.3184
2022-03-25,0.7532,0.21035,0.80205,,,0.00823,,0.69605,0.11594,,0.067875,,0.10645,1.0781,1.3183
2022-03-27,,0.21025,0.8008,,,,0.04924,,0.1158,,0.0679,,0.10623,1.0774,1.3171
2022-03-28,0.75305,0.20925,0.7982,,,0.008133,0.04904,0.69415,0.11435,,0.0673,,0.10521,1.0736,1.3088
