,Country,Train Threshold,Test Threshold
0,Mexico,0.001374758977350824,0.0013671482735566397
1,Brazil,0.002395302696499207,0.0014463616238008295
2,South Africa,0.0009453108227854561,0.0007422904111932734
3,Japan,0.0010668294926510988,0.0010280579899601887
4,Australia,0.0015232263490623581,0.0013386306037471338
5,Canada,0.0008982256821865266,0.0005864218015724327
6,UK,0.0009184739542477207,0.0009145546684441063
7,Hong Kong,7.737345486989395e-05,8.589689734419608e-05
8,India,0.00022877196347363096,0.00023581046612260087
9,South Korea,0.002431118421686311,0.0026557627394406865
10,Norway,0.0017573843560163365,0.0014645004189489585
11,Sweden,0.0013228723533620429,0.0009738893701565202
12,Singapore,0.0004349691308552684,0.00036213431940240406
13,Switzerland,0.000879075646520906,0.001268314000236689
14,New Zealand,0.0010832405011358558,0.0009007388279475426
