,Country,Train Threshold,Test Threshold
0,Mexico,0.0018052730085297223,0.0016770771477975638
1,Brazil,0.0031036178209148525,0.002569891519161076
2,South Africa,0.0013284104965237673,0.0010986960632279337
3,Japan,0.0013522901561486788,0.001310589457182818
4,Australia,0.0018915416704708937,0.0016125546503658124
5,Canada,0.001287669089874273,0.0008276064291861043
6,UK,0.0016014598935114768,0.0014307136443692857
7,Hong Kong,0.00013131070050668585,0.0001323591051098268
8,India,0.0005752022836791328,0.0005153258005513951
9,South Korea,0.003003019545469565,0.003352245285266208
10,Norway,0.0024010977684290574,0.0022207115022479804
11,Sweden,0.0021002269029112785,0.0015537084274544893
12,Singapore,0.0008490632985605608,0.0007490532533161033
13,Switzerland,0.0010914498563802198,0.0016530005454618866
14,New Zealand,0.002184575838637956,0.0014121613250012701
