ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-25T23:00:00.131246981Z,2026-01-25T23:00:00.000000000Z,1,1,7311,T,N,0,52495.000000000,7,0,12752,18509,52780.000000000,52450.000000000,2,4,1,2,NIYH6
2026-01-25T23:00:00.154303340Z,2026-01-25T23:00:00.000000000Z,1,1,7311,T,N,0,52500.000000000,1,0,12310,18706,52445.000000000,52500.000000000,2,2,2,2,NIYH6
2026-01-25T23:00:00.387520406Z,2026-01-25T23:00:00.307740201Z,1,1,7311,T,A,0,52445.000000000,1,0,13380,20547,52445.000000000,52470.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:00.403622674Z,2026-01-25T23:00:00.364205755Z,1,1,7311,T,A,0,52435.000000000,1,0,12913,20810,52435.000000000,52470.000000000,4,2,1,2,NIYH6
2026-01-25T23:00:00.415346634Z,2026-01-25T23:00:00.376336961Z,1,1,7311,T,A,0,52435.000000000,1,0,13158,20935,52435.000000000,52470.000000000,3,2,1,2,NIYH6
2026-01-25T23:00:00.417012186Z,2026-01-25T23:00:00.378716405Z,1,1,7311,T,B,0,52470.000000000,1,0,13058,20958,52435.000000000,52470.000000000,2,2,1,2,NIYH6
2026-01-25T23:00:00.428818801Z,2026-01-25T23:00:00.397153857Z,1,1,7311,T,A,0,52435.000000000,1,0,13088,21094,52435.000000000,52470.000000000,2,1,1,1,NIYH6
2026-01-25T23:00:00.438776400Z,2026-01-25T23:00:00.405751655Z,1,1,7311,T,A,0,52435.000000000,1,0,12756,21185,52435.000000000,52470.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:00.654157891Z,2026-01-25T23:00:00.653259051Z,1,1,7311,T,A,0,52330.000000000,3,0,13472,23700,52330.000000000,52355.000000000,3,1,1,1,NIYH6
2026-01-25T23:00:00.729151749Z,2026-01-25T23:00:00.728599967Z,1,1,7311,T,A,0,52270.000000000,2,0,13124,24131,52270.000000000,52305.000000000,2,2,1,2,NIYH6
2026-01-25T23:00:01.183814497Z,2026-01-25T23:00:01.183368391Z,1,1,7311,T,A,0,52260.000000000,5,0,13373,25355,52260.000000000,52280.000000000,5,2,3,2,NIYH6
2026-01-25T23:00:01.571606498Z,2026-01-25T23:00:01.571045017Z,1,1,7311,T,A,0,52250.000000000,2,0,13017,26272,52250.000000000,52285.000000000,2,2,2,2,NIYH6
2026-01-25T23:00:01.571795070Z,2026-01-25T23:00:01.571083185Z,1,1,7311,T,A,0,52245.000000000,1,0,12474,26274,52245.000000000,52285.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:01.590633158Z,2026-01-25T23:00:01.589784029Z,1,1,7311,T,A,0,52215.000000000,4,0,13624,26593,52215.000000000,52255.000000000,4,1,2,1,NIYH6
2026-01-25T23:00:01.663855732Z,2026-01-25T23:00:01.663207895Z,1,1,7311,T,A,0,52200.000000000,6,0,13449,26873,52200.000000000,52245.000000000,6,1,3,1,NIYH6
2026-01-25T23:00:02.376257897Z,2026-01-25T23:00:02.375931961Z,1,1,7311,T,B,0,52215.000000000,1,0,12629,28828,52180.000000000,52215.000000000,3,1,3,1,NIYH6
2026-01-25T23:00:06.790437120Z,2026-01-25T23:00:06.789913243Z,1,1,7311,T,B,0,52220.000000000,1,0,13083,33481,52190.000000000,52220.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:08.746626153Z,2026-01-25T23:00:08.746318093Z,1,1,7311,T,A,0,52250.000000000,1,0,12597,34822,52250.000000000,52260.000000000,1,3,1,3,NIYH6
2026-01-25T23:00:08.746964609Z,2026-01-25T23:00:08.746661487Z,1,1,7311,T,A,0,52250.000000000,2,0,12613,34829,52250.000000000,52260.000000000,2,3,1,3,NIYH6
